,Label,totalWordsCount,JJS,NN,NNS,PDT,RB,RBR,RP,TOs,WP,questionmarks,exclamationmarks,semicolon,colon,ellipsis,pronouns1st,pronouns2nd,sentence1st,sentencelast,txtcomplexity,site
0,objective,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,msn.foxsports.com
1,objective,309,0,1,0,0,0,0,1,0,0,0,0,0,5,0,1,0,1,1,14,msn.foxsports.com
2,objective,149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,uk.eurosport.yahoo.com
3,objective,305,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,20,uk.eurosport.yahoo.com
4,objective,491,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,24,uk.eurosport.yahoo.com
5,objective,314,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,18,msn.foxsports.com
6,objective,314,0,3,0,0,0,0,0,0,0,0,0,0,8,0,3,0,1,1,31,uk.eurosport.yahoo.com
7,objective,462,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,2,1,1,17,msn.foxsports.com
8,objective,808,0,7,0,0,0,0,8,0,0,0,0,0,0,0,1,2,1,1,17,msn.foxsports.com
9,subjective,2245,0,6,0,7,3,0,0,0,0,2,0,0,1,0,11,10,1,1,17,msn.foxsports.com
10,objective,860,0,2,0,0,4,1,0,0,2,0,0,0,0,0,0,0,1,1,24,msn.foxsports.com
11,objective,497,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,1,17,msn.foxsports.com
12,objective,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,msn.foxsports.com
13,objective,792,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,msn.foxsports.com
14,subjective,1051,0,4,0,0,3,1,0,0,0,4,0,0,5,0,5,1,1,1,22,msn.foxsports.com
15,objective,246,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,10,msn.foxsports.com
16,objective,614,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,20,msn.foxsports.com
17,objective,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,msn.foxsports.com
18,objective,246,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,27,msn.foxsports.com
19,objective,293,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,26,msn.foxsports.com
20,objective,1367,0,9,1,15,3,0,1,0,0,1,0,2,2,0,17,9,1,1,34,msn.foxsports.com
21,objective,845,0,6,1,0,2,1,8,0,1,1,0,0,4,0,13,0,1,1,17,msn.foxsports.com
22,objective,112,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,msn.foxsports.com
23,objective,204,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,25,msn.foxsports.com
24,objective,177,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,16,msn.foxsports.com
25,objective,253,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,16,msn.foxsports.com
26,objective,1122,0,7,1,0,0,1,1,0,0,1,0,0,3,0,5,14,1,1,22,www.foxsportswest.com
27,objective,653,0,0,0,0,2,0,4,0,0,0,0,0,4,0,8,0,1,1,16,www.foxsportswisconsin.com
28,objective,985,0,2,0,0,0,0,9,0,0,0,0,0,3,0,3,6,1,1,18,www.foxsportswisconsin.com
29,subjective,1169,0,3,1,6,4,0,1,0,0,1,0,0,0,0,3,20,1,1,21,www.nba.com
30,objective,513,0,4,2,2,1,0,0,0,0,0,0,0,4,0,3,4,0,1,19,www.thesun.co.uk
31,objective,853,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,22,www.foxsports.com.au
32,objective,552,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,24,uk.eurosport.yahoo.com
33,objective,404,0,3,0,0,0,0,5,0,0,0,0,0,0,0,2,0,1,1,21,www.espn.co.uk
34,objective,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,13,www.bbc.co.uk
35,objective,395,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,19,www.sportinglife.com
36,objective,116,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,1,9,www1.skysports.com
37,objective,573,0,13,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,1,19,www.nba.com
38,objective,272,0,4,0,0,0,0,0,0,0,0,1,0,16,0,0,0,1,1,20,www.nba.com
39,objective,227,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,17,msn.foxsports.com
40,objective,575,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,22,www.foxsportsohio.com
41,objective,382,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,23,www.foxsportswest.com
42,objective,294,0,2,0,0,0,0,2,0,0,0,0,0,3,0,0,2,1,1,10,edition.cnn.com
43,objective,894,0,0,0,9,1,1,0,0,0,0,0,0,6,0,0,0,1,1,29,uk.eurosport.yahoo.com
44,objective,176,0,2,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1,1,12,uk.eurosport.yahoo.com
45,objective,182,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,18,uk.eurosport.yahoo.com
46,objective,93,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11,uk.eurosport.yahoo.com
47,objective,269,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1,1,14,uk.eurosport.yahoo.com
48,objective,71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,msn.foxsports.com
49,objective,585,0,12,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,20,msn.foxsports.com
50,objective,186,0,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,15,msn.foxsports.com
51,objective,234,0,0,0,0,0,0,3,0,0,0,0,0,2,0,4,0,1,1,11,msn.foxsports.com
52,objective,683,0,5,1,2,0,0,0,0,0,0,0,0,1,0,4,0,1,1,28,dailystar.com.lb
53,objective,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,web.orange.co.uk
54,objective,661,0,12,1,0,4,0,4,0,0,0,0,0,1,0,3,0,1,1,14,msn.foxsports.com
55,objective,136,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,9,msn.foxsports.com
56,objective,246,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,1,1,5,msn.foxsports.com
57,objective,411,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,14,edition.cnn.com
58,objective,917,0,14,0,0,0,0,14,0,0,0,0,0,5,0,6,1,1,1,13,msn.foxsports.com
59,objective,307,0,2,0,6,2,0,0,0,0,0,1,1,0,0,0,0,1,1,17,msn.foxsports.com
60,objective,1065,0,7,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,1,19,msn.foxsports.com
61,objective,1386,0,11,0,0,0,1,6,0,0,0,0,0,0,0,4,3,1,1,19,msn.foxsports.com
62,objective,730,0,8,0,8,1,1,0,0,0,0,0,0,0,0,4,1,1,1,27,www.nba.com
63,objective,268,0,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,1,29,www.dailystar.co.uk
64,objective,488,0,5,0,0,0,0,10,0,0,3,0,0,1,0,5,0,1,1,12,msn.foxsports.com
65,objective,1766,0,2,1,0,1,0,9,0,0,5,0,1,0,0,18,3,1,1,12,msn.foxsports.com
66,objective,206,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0,1,1,29,www.dailystar.co.uk
67,objective,198,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,1,1,19,uk.eurosport.yahoo.com
68,objective,83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,13,www.bbc.co.uk
69,objective,400,0,2,1,0,2,0,6,0,0,0,0,0,0,0,2,0,1,1,12,msn.foxsports.com
70,objective,151,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,11,www.football365.com
71,objective,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,msn.foxsports.com
72,objective,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,msn.foxsports.com
73,objective,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,52,msn.foxsports.com
74,objective,530,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,19,www.wnba.com
75,objective,143,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,1,20,www.dailystar.co.uk
76,objective,245,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,1,13,www.football365.com
77,objective,1197,0,7,0,0,1,0,19,0,0,0,0,0,1,0,6,1,1,1,15,msn.foxsports.com
78,objective,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,msn.foxsports.com
79,objective,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,www.dailystar.co.uk
80,objective,142,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,msn.foxsports.com
81,objective,487,0,3,0,0,0,0,6,0,0,0,0,0,8,0,2,0,1,0,15,msn.foxsports.com
82,objective,179,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,17,msn.foxsports.com
83,objective,224,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,1,1,37,www.dailystar.co.uk
84,objective,306,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,19,msn.foxsports.com
85,objective,684,0,4,0,0,1,0,5,0,0,0,0,0,4,0,3,0,0,1,18,msn.foxsports.com
86,objective,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,www.dailystar.co.uk
87,objective,310,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,17,msn.foxsports.com
88,objective,365,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,1,1,1,15,msn.foxsports.com
89,objective,173,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,msn.foxsports.com
90,objective,450,0,8,0,6,0,0,2,0,0,0,0,0,0,0,2,0,1,1,16,msn.foxsports.com
91,objective,118,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,11,msn.foxsports.com
92,subjective,640,0,3,2,5,1,0,0,0,0,0,0,0,2,0,4,1,1,1,23,msn.foxsports.com
93,objective,343,0,8,1,7,0,2,0,1,0,0,1,0,0,0,1,1,1,1,13,msn.foxsports.com
94,objective,152,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,21,www.dailystar.co.uk
95,objective,744,0,2,2,12,0,1,0,0,0,1,0,0,0,0,2,8,1,1,31,dailystar.com.lb
96,objective,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,edition.cnn.com
97,subjective,930,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,13,1,1,21,www.nba.com
98,objective,242,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,15,www.foxsportssouthwest.com
99,objective,941,0,3,2,0,2,1,7,0,0,0,0,0,2,0,1,0,1,1,18,msn.foxsports.com
100,objective,624,0,7,1,1,1,1,1,0,0,2,0,0,0,0,9,3,1,1,20,msn.foxsports.com
101,objective,474,0,5,1,1,2,0,0,0,0,1,0,0,2,0,15,0,1,1,33,www.dailystar.co.uk
102,objective,201,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,15,msn.foxsports.com
103,objective,211,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,23,uk.eurosport.yahoo.com
104,objective,360,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,hangtime.blogs.nba.com
105,objective,749,0,8,0,0,2,0,8,0,0,0,0,0,5,0,15,1,1,1,14,msn.foxsports.com
106,objective,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,www.independent.co.uk
107,objective,648,0,3,0,0,3,0,9,0,0,0,0,0,0,0,2,1,1,1,14,articles.latimes.com
108,objective,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,msn.foxsports.com
109,objective,284,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,edition.cnn.com
110,objective,514,0,4,1,0,0,0,6,1,0,0,0,1,0,0,3,0,1,1,19,msn.foxsports.com
111,objective,732,0,10,1,0,2,0,8,0,0,0,0,0,3,0,1,0,1,1,15,msn.foxsports.com
112,objective,225,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,www.nba.com
113,objective,953,0,6,0,0,2,0,5,0,0,0,0,0,2,0,3,1,1,1,20,msn.foxsports.com
114,objective,326,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,25,www.football365.com
115,objective,404,0,2,2,5,1,0,1,0,0,0,0,0,3,0,9,1,1,1,26,www.dailystar.co.uk
116,objective,245,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,17,uk.eurosport.yahoo.com
117,objective,124,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,10,msn.foxsports.com
118,objective,212,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,msn.foxsports.com
119,objective,137,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,19,msn.foxsports.com
120,objective,592,0,1,0,0,2,1,1,0,0,0,0,2,0,0,7,2,1,1,24,msn.foxsports.com
121,objective,627,0,0,0,0,1,0,8,0,0,0,0,0,1,0,7,2,1,1,16,msn.foxsports.com
122,subjective,878,0,0,0,3,4,0,0,0,0,2,0,0,4,0,5,12,0,1,21,www.dailystar.co.uk
123,objective,132,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,8,www.football365.com
124,objective,133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,msn.foxsports.com
125,objective,150,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,16,msn.foxsports.com
126,objective,718,0,2,0,0,1,0,3,0,0,0,0,0,7,0,1,0,1,1,28,www.bbc.co.uk
127,objective,313,0,0,0,6,0,0,1,0,0,0,0,0,2,0,2,0,1,1,26,www.dailystar.co.uk
128,objective,388,0,2,0,0,1,0,6,0,0,1,0,0,0,0,1,0,1,1,12,msn.foxsports.com
129,objective,128,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,21,msn.foxsports.com
130,objective,782,0,3,0,0,0,0,6,0,0,0,0,0,2,0,9,2,1,1,15,msn.foxsports.com
131,objective,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,17,msn.foxsports.com
132,subjective,770,0,5,0,4,0,0,0,0,0,4,2,1,0,0,1,1,1,1,16,manutd.theoffside.com
133,objective,1047,0,6,0,0,1,0,11,0,0,0,0,0,5,0,3,0,1,1,18,msn.foxsports.com
134,objective,281,0,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,1,10,www.sportinglife.com
135,objective,1320,0,4,1,0,0,1,6,0,1,0,0,0,0,0,0,0,1,1,20,msn.foxsports.com
136,objective,328,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,13,www.foxsportsohio.com
137,objective,694,0,7,0,4,0,0,3,0,1,0,0,0,0,0,2,0,1,1,24,msn.foxsports.com
138,objective,853,0,1,2,0,2,0,7,0,0,1,1,1,1,0,2,1,1,1,21,msn.foxsports.com
139,objective,820,0,2,1,0,2,0,0,0,0,0,0,0,0,0,13,3,1,1,21,www.walesonline.co.uk
140,objective,647,0,0,0,0,2,0,5,0,0,1,0,0,1,0,3,1,1,1,16,msn.foxsports.com
141,objective,800,0,1,0,0,0,0,8,0,0,0,0,0,0,0,2,3,1,1,16,msn.foxsports.com
142,objective,212,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,15,msn.foxsports.com
143,objective,702,0,1,0,1,1,0,0,0,0,1,0,2,8,0,0,0,1,1,19,msn.foxsports.com
144,objective,1412,0,12,0,19,1,0,0,0,0,1,6,0,1,0,11,7,1,1,20,msn.foxsports.com
145,objective,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,msn.foxsports.com
146,objective,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,8,www.football365.com
147,subjective,540,0,1,0,3,2,0,0,0,0,1,2,1,3,0,3,7,1,1,23,www.sport24.co.za
148,objective,275,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,1,1,1,16,www.guardian.co.uk
149,objective,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,www.sportinglife.com
150,objective,752,0,7,0,0,2,0,10,0,0,0,0,0,3,0,12,3,1,1,13,msn.foxsports.com
151,objective,852,0,2,1,0,1,0,6,0,1,0,0,1,4,0,0,5,1,1,17,msn.foxsports.com
152,objective,290,0,2,0,1,1,0,3,0,0,0,0,0,3,0,7,1,1,1,17,www.dailystar.co.uk
153,objective,322,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,20,www.somersetcountygazette.co.uk
154,objective,145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,msn.foxsports.com
155,objective,115,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,16,www.football365.com
156,objective,317,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,10,msn.foxsports.com
157,objective,312,0,9,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,15,msn.foxsports.com
158,objective,160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,26,msn.foxsports.com
159,objective,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,msn.foxsports.com
160,subjective,832,0,0,1,0,0,0,0,1,0,0,5,0,6,0,4,10,1,1,20,espn.go.com
161,objective,303,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14,www.sportinglife.com
162,objective,149,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,msn.foxsports.com
163,objective,1933,0,3,0,15,4,0,0,0,0,2,0,0,3,0,20,13,1,1,42,msn.foxsports.com
164,objective,692,0,3,1,0,1,2,0,0,0,3,0,0,3,0,14,1,1,1,16,msn.foxsports.com
165,objective,582,0,3,1,3,1,2,0,0,0,2,0,0,3,0,10,1,1,1,21,www.dailystar.co.uk
166,objective,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,www.talksport.co.uk
167,objective,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,msn.foxsports.com
168,objective,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,msn.foxsports.com
169,objective,147,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,1,16,msn.foxsports.com
170,objective,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,msn.foxsports.com
171,objective,206,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,13,www.football365.com
172,objective,743,0,4,1,0,2,0,7,0,0,0,0,0,0,0,4,3,1,1,16,msn.foxsports.com
173,objective,944,0,5,0,0,4,0,8,0,0,1,0,0,1,0,0,1,1,1,20,msn.foxsports.com
174,objective,215,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,14,manutd.theoffside.com
175,objective,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,msn.foxsports.com
176,objective,351,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,5,1,1,18,msn.foxsports.com
177,objective,126,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,7,www.football365.com
178,objective,142,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,www.nba.com
179,objective,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,www.dailystar.co.uk
180,objective,586,0,7,1,0,0,0,6,0,0,2,0,0,0,0,3,0,1,1,13,msn.foxsports.com
181,objective,456,0,1,0,3,0,0,1,0,2,0,0,0,4,0,6,2,1,1,25,www.dailystar.co.uk
182,objective,249,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,20,www.dailystar.co.uk
183,objective,932,0,9,1,12,0,0,0,0,0,0,0,0,3,0,4,0,1,1,18,msn.foxsports.com
184,objective,430,0,0,0,0,0,0,4,0,2,0,0,0,1,0,1,2,1,1,13,msn.foxsports.com
185,objective,285,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,21,msn.foxsports.com
186,objective,390,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,0,1,1,24,msn.foxsports.com
187,objective,688,0,6,0,0,0,0,4,0,0,2,1,0,2,0,1,1,1,1,19,msn.foxsports.com
188,objective,1237,0,0,0,7,1,0,0,0,0,1,0,0,10,0,5,2,1,1,21,thefarmclub.net
189,objective,611,0,7,0,0,0,0,4,0,0,0,0,0,5,0,7,0,1,1,14,msn.foxsports.com
190,objective,594,0,7,0,0,0,1,3,0,0,0,0,0,1,0,2,1,1,1,20,www.foxsportsarizona.com
191,objective,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,msn.foxsports.com
192,objective,223,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,14,uk.eurosport.yahoo.com
193,objective,707,0,5,0,14,1,1,0,0,0,0,0,0,0,0,3,4,1,1,29,www.foxsportsflorida.com
194,objective,971,0,16,0,12,0,0,0,0,0,0,0,2,9,0,4,0,1,1,17,msn.foxsports.com
195,objective,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,msn.foxsports.com
196,objective,181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,www.bbc.co.uk
197,objective,393,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,18,www.foxsportswest.com
198,objective,138,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,www.dailystar.co.uk
199,objective,1001,0,7,0,0,1,1,7,0,0,1,0,0,0,0,5,3,1,1,16,www.foxsportsmidwest.com
200,objective,288,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,13,www.dailystar.co.uk
